benchmark_name,instance_id,seed,service_level,demand_volatility,n_scenarios,candidate_generation_seconds__ARCH-ACE-LB,candidate_generation_seconds__ARCH-RP,candidate_generation_seconds__ARCH-RP-PORT,candidate_generation_seconds__BD-MC,candidate_generation_seconds__BD-SC,extra_candidate_evals__ARCH-ACE-LB,extra_candidate_evals__ARCH-RP,extra_candidate_evals__ARCH-RP-PORT,extra_candidate_evals__BD-MC,extra_candidate_evals__BD-SC,heuristic_scenario_solve_seconds__ARCH-ACE-LB,heuristic_scenario_solve_seconds__ARCH-RP,heuristic_scenario_solve_seconds__ARCH-RP-PORT,heuristic_scenario_solve_seconds__BD-MC,heuristic_scenario_solve_seconds__BD-SC,iterations__ARCH-ACE-LB,iterations__ARCH-RP,iterations__ARCH-RP-PORT,iterations__BD-MC,iterations__BD-SC,search_activated_iterations__ARCH-ACE-LB,search_activated_iterations__ARCH-RP,search_activated_iterations__ARCH-RP-PORT,search_activated_iterations__BD-MC,search_activated_iterations__BD-SC,time_to_proof__ARCH-ACE-LB,time_to_proof__ARCH-RP,time_to_proof__ARCH-RP-PORT,time_to_proof__BD-MC,time_to_proof__BD-SC,BD-SC__time_delta_vs_bdmc,BD-SC__iteration_gain_vs_bdmc,ARCH-RP__time_delta_vs_bdmc,ARCH-RP__iteration_gain_vs_bdmc,ARCH-ACE-LB__time_delta_vs_bdmc,ARCH-ACE-LB__iteration_gain_vs_bdmc,ARCH-RP-PORT__time_delta_vs_bdmc,ARCH-RP-PORT__iteration_gain_vs_bdmc
large320,stage9_large_n32_m48_k320_s90_sl1.12_v0.15,90,1.12,0.15,320,0.0,0.0,0.20365824998589233,0.0,0.0,0,0,1,0,0,0.0,0.0,0.005446250026579946,0.0,0.0,10,10,10,10,20,0,0,1,0,0,17.819289541977923,17.575864667014685,18.236022000026423,16.827254041971173,28.039675250009168,-11.212421208037995,-10,-0.7486106250435114,0,-0.9920355000067502,0,-1.4087679580552503,0
large320,stage9_large_n32_m48_k320_s90_sl1.15_v0.15,90,1.15,0.15,320,0.0,0.0,0.20335704198805615,0.0,0.0,0,0,1,0,0,0.0,0.0,0.0051934170187450945,0.0,0.0,11,11,11,11,19,0,0,1,0,0,20.536441000003833,20.432088374975137,20.84822395897936,20.36154595797416,27.403051541012246,-7.041505583038088,-8,-0.07054241700097919,0,-0.1748950420296751,0,-0.48667800100520253,0
large320,stage9_large_n32_m48_k320_s91_sl1.12_v0.15,91,1.12,0.15,320,0.0,0.0,0.20496654201997444,0.0,0.0,0,0,1,0,0,0.0,0.0,0.005500083032529801,0.0,0.0,15,15,15,15,29,0,0,1,0,0,37.99266545899445,38.03087424999103,38.16987229103688,37.61561295797583,43.680775374989025,-6.065162417013198,-14,-0.41526129201520234,0,-0.37705250101862475,0,-0.5542593330610543,0
large320,stage9_large_n32_m48_k320_s91_sl1.15_v0.15,91,1.15,0.15,320,0.0,0.0,0.20442999998340383,0.0,0.0,0,0,1,0,0,0.0,0.0,0.005556833988521248,0.0,0.0,16,16,16,16,39,0,0,1,0,0,47.64434162498219,47.32583749998594,47.84265458403388,46.98100191599224,59.53221454197774,-12.5512126259855,-23,-0.3448355839936994,0,-0.6633397089899518,0,-0.8616526680416428,0
