config_name,mean_objective,mean_gap,mean_iterations,mean_cuts,mean_time,mean_time_to_proof,proof_rate
BD-MC,953.2414158330163,7.299934852226446e-17,3.0,15.0,0.00883080567776536,0.00882805569563061,1.0
BD-MC-P,953.2414158330163,7.399563541747983e-17,3.0,15.0,0.014977375026016185,0.01497445833714058,1.0
BD-MC-P-F,953.2414158330163,0.11934211454923406,27.666666666666668,9.0,0.12344199968113874,0.016367125033866614,0.3333333333333333
BD-SC,953.2414158330163,2.420652325647464e-16,3.0,3.0,0.011970528323824206,0.011967375001404434,1.0
HEB-Base,953.2414158330163,7.299934852226446e-17,2.0,45.0,0.02429872202143694,0.024295361014083028,1.0
HEB-QI-F-P,953.2414158330163,0.11965662475419725,40.0,9.333333333333334,1.1137277363450266,,0.0
HEB-QI-P,953.2414158330163,7.399563541747983e-17,2.0,69.66666666666667,0.07009688931672524,0.07009252766147256,1.0
