seed,bmc_iters,arch_iters,bmc_time,arch_time,activated,delta_iters
100,4,3,0.24595629201212432,0.27830087499751244,0,1
101,5,5,0.33792970899958163,0.4945465420023538,0,0
102,7,6,0.5515026659995783,0.6293226249981672,0,1
103,4,4,0.26484237500699237,0.36792379200051073,0,0
104,5,3,0.3220889160002116,0.2860918749938719,0,2
105,5,5,0.3187354589899769,0.47237858299922664,0,0
106,5,5,0.3557758749957429,0.5268468330032192,0,0
107,6,5,0.42090962501242757,0.4843709580018185,0,1
108,4,4,0.25167795800371096,0.40542862500296906,0,0
109,5,5,0.3348640409967629,0.4983868330018595,0,0
110,7,7,0.5119434170046588,0.7061289580015,0,0
111,4,4,0.25136475000181235,0.41055612500349525,0,0
112,4,4,0.27403816700098105,0.43736820900812745,0,0
113,4,4,0.25809283400303684,0.4223015000025043,0,0
114,4,4,0.2685069580038544,0.42472029199416284,0,0
115,5,5,0.3730226670013508,0.518265833001351,0,0
116,8,7,0.6313407920097234,0.7118371250107884,0,1
117,4,3,0.2519710420019692,0.30047849999391474,0,1
118,4,3,0.2628517919947626,0.28934308400494047,0,1
119,4,4,0.2549323330022162,0.41547424999589566,0,0
120,4,4,0.2454666670091683,0.4053749579907162,0,0
121,6,6,0.46540183400793467,0.624049083009595,0,0
122,4,4,0.25435358300455846,0.3762445840111468,0,0
123,5,5,0.33765891699295025,0.5072663339960855,0,0
124,6,5,0.4776095840061316,0.5269576249993406,0,1
125,6,5,0.4258454590017209,0.4990782499953639,0,1
126,5,5,0.35257366600853857,0.5302475409989711,0,0
127,4,4,0.2645386249932926,0.4304534589900868,0,0
128,6,5,0.4494728339923313,0.47687225000117905,0,1
129,4,4,0.2577474169956986,0.4125493750034366,0,0
