instance_id,method,proof_time,major_iterations,activated_iterations
expanded_n36_m54_k420_s85,BD-MC,45.2569102080015,14,0
expanded_n36_m54_k420_s85,BD-MC-S,89.76043262500025,14,0
expanded_n36_m54_k420_s85,ARCH-RP,48.94553437500144,14,0
expanded_n36_m54_k420_s85,ARCH-RP-PORT,47.72922516700055,14,0
expanded_n36_m54_k420_s86,BD-MC,28.517370707995724,10,0
expanded_n36_m54_k420_s86,BD-MC-S,59.59016220799822,10,0
expanded_n36_m54_k420_s86,ARCH-RP,30.53827162500238,10,0
expanded_n36_m54_k420_s86,ARCH-RP-PORT,28.876024334007525,10,0
expanded_n36_m54_k420_s87,BD-MC,28.196892499996466,10,0
expanded_n36_m54_k420_s87,BD-MC-S,59.18905783399532,10,0
expanded_n36_m54_k420_s87,ARCH-RP,30.722507750004297,10,0
expanded_n36_m54_k420_s87,ARCH-RP-PORT,28.246847207992687,10,0
expanded_n36_m54_k420_s88,BD-MC,29.759354750000057,10,0
expanded_n36_m54_k420_s88,BD-MC-S,60.63909983300255,10,0
expanded_n36_m54_k420_s88,ARCH-RP,32.08766525000101,10,0
expanded_n36_m54_k420_s88,ARCH-RP-PORT,29.747665250004502,10,0
expanded_n36_m54_k420_s89,BD-MC,15.237127000000328,6,0
expanded_n36_m54_k420_s89,BD-MC-S,34.420925583995995,6,0
expanded_n36_m54_k420_s89,ARCH-RP,17.603846917001647,6,0
expanded_n36_m54_k420_s89,ARCH-RP-PORT,15.439294167008484,6,0
expanded_n36_m54_k420_s90,BD-MC,25.60557850000623,9,0
expanded_n36_m54_k420_s90,BD-MC-S,54.23741666600108,9,0
expanded_n36_m54_k420_s90,ARCH-RP,27.359340042006806,9,0
expanded_n36_m54_k420_s90,ARCH-RP-PORT,25.205617667001206,9,0
expanded_n36_m54_k420_s91,BD-MC,18.196867459002533,7,0
expanded_n36_m54_k420_s91,BD-MC-S,40.00348695900175,7,0
expanded_n36_m54_k420_s91,ARCH-RP,20.581087667000247,7,0
expanded_n36_m54_k420_s91,ARCH-RP-PORT,18.084763291000854,7,0
expanded_n36_m54_k420_s92,BD-MC,18.716602208005497,7,0
expanded_n36_m54_k420_s92,BD-MC-S,41.48777983299806,7,0
expanded_n36_m54_k420_s92,ARCH-RP,21.116757000010693,7,0
expanded_n36_m54_k420_s92,ARCH-RP-PORT,18.776414499996463,7,0
