instance_id,seed,demand_volatility,n_scenarios,ef_time,ef_objective
arch_round2_s53_v0.3_k60,53,0.3,60,0.13451549999990675,1831.207483580948
arch_round2_s54_v0.2_k20,54,0.2,20,0.031910875000903616,1964.3241870354268
arch_round2_s54_v0.2_k30,54,0.2,30,0.083184249999249,2033.2696381465717
arch_round2_s54_v0.2_k40,54,0.2,40,0.0773191250009404,2010.9239613232467
arch_round2_s54_v0.2_k60,54,0.2,60,0.13385312500031432,2045.2616322441193
arch_round2_s54_v0.3_k20,54,0.3,20,0.031482874999710475,1971.354121862893
arch_round2_s54_v0.3_k30,54,0.3,30,0.05297204199996486,2077.3402021799766
arch_round2_s54_v0.3_k40,54,0.3,40,0.07606925000072806,2034.8723513461268
arch_round2_s54_v0.3_k60,54,0.3,60,0.13326695800060406,2122.9108783414936
arch_round2_s55_v0.2_k20,55,0.2,20,0.08115883300160931,2189.8944913646556
arch_round2_s55_v0.2_k30,55,0.2,30,0.1361740419997659,2201.644722290799
arch_round2_s55_v0.2_k40,55,0.2,40,0.07863637500122422,2218.718557048506
arch_round2_s55_v0.2_k60,55,0.2,60,0.41798991699943144,2165.382084823743
arch_round2_s55_v0.3_k20,55,0.3,20,0.03274004199920455,2219.484172761092
arch_round2_s55_v0.3_k30,55,0.3,30,0.05370033399958629,2240.734343592849
arch_round2_s55_v0.3_k40,55,0.3,40,0.07640799999899173,2289.580982635137
arch_round2_s55_v0.3_k60,55,0.3,60,0.1332905409999512,2181.0902424475576
arch_round2_s56_v0.2_k20,56,0.2,20,0.03482708399860712,2363.0679507925515
arch_round2_s56_v0.2_k30,56,0.2,30,0.05569933399965521,2291.171552958801
arch_round2_s56_v0.2_k40,56,0.2,40,0.08321908299876668,2310.190382375222
arch_round2_s56_v0.2_k60,56,0.2,60,0.1337437919992226,2298.8725493399456
arch_round2_s56_v0.3_k20,56,0.3,20,0.03341016699960164,2457.481235204028
arch_round2_s56_v0.3_k30,56,0.3,30,0.053932292001263704,2338.5496645213975
arch_round2_s56_v0.3_k40,56,0.3,40,0.07901379100076156,2362.593278518752
arch_round2_s56_v0.3_k60,56,0.3,60,0.13401141600115807,2361.1660731996026
arch_round2_s57_v0.2_k20,57,0.2,20,0.07053212499886286,2037.2272299780725
arch_round2_s57_v0.2_k30,57,0.2,30,0.0527113330008433,2077.03860339343
arch_round2_s57_v0.2_k40,57,0.2,40,0.3089930420010205,2019.3725813120975
arch_round2_s57_v0.2_k60,57,0.2,60,0.12917374999960884,2066.0031116327787
arch_round2_s57_v0.3_k20,57,0.3,20,0.03215754200027732,2059.479732024135
arch_round2_s57_v0.3_k30,57,0.3,30,0.05348466700161225,2157.8632378225884
arch_round2_s57_v0.3_k40,57,0.3,40,0.0759577500011801,2038.8153553039735
arch_round2_s57_v0.3_k60,57,0.3,60,0.13425129099960031,2160.139025576925
arch_round2_s58_v0.2_k20,58,0.2,20,0.07016600000133622,2082.9301695050926
arch_round2_s58_v0.2_k30,58,0.2,30,0.11835925000013958,2099.226987259519
arch_round2_s58_v0.2_k40,58,0.2,40,0.0772887080001965,2145.9332357667918
arch_round2_s58_v0.2_k60,58,0.2,60,0.1330738750002638,2135.00115740453
arch_round2_s58_v0.3_k20,58,0.3,20,0.033055874999263324,2110.2922985916484
arch_round2_s58_v0.3_k30,58,0.3,30,0.05448662500020873,2128.9907893949344
arch_round2_s58_v0.3_k40,58,0.3,40,0.07605579200026114,2257.6397109523455
arch_round2_s58_v0.3_k60,58,0.3,60,0.13458929099942907,2203.1946988801465
arch_round2_s59_v0.2_k20,59,0.2,20,0.03364191699984076,1933.5299770787315
arch_round2_s59_v0.2_k30,59,0.2,30,0.05371408300015901,1969.9031206760608
