n_scenarios,ef_mean_time,bd_mc_delta_vs_ef,arch_rp_delta_vs_ef
20,0.06417335995460731,0.002312924359929766,0.0023755304060118897
30,0.07363118754561913,-0.015911107955038084,-0.014796437447661076
40,0.09417890713650029,-0.01975431058847537,-0.018688897771756818
60,0.22236773095433324,0.043562479033674,0.04381880672628379
Overall,0.11358779639776499,0.0025524962125225777,0.003177250478219444
