comparison,n_pairs,mean_proof_time_delta,ci_low,ci_high
BD-MC minus ARCH-RP,784,0.0011186520232699024,0.0002178554901918812,0.0022992467850562336
BD-MC minus ARCH-ACE-LB,784,0.0007798592368442551,-7.910352031065948e-05,0.002004574374197027
BD-MC minus ARCH-RPE-DE025,784,0.000766997120303948,-7.74817581389348e-05,0.0019543197442711685
BD-MC minus ARCH-ACE-LB-T12,784,0.0005999732883890542,-0.00025892200641725293,0.001786332046988398
ARCH-ACE-LB minus ARCH-RP,784,-0.00033879278642564756,-0.0009866128235629826,0.00029817150582542697
ARCH-RPE-DE025 minus ARCH-RP,784,-0.0003516549029659547,-0.000983948223907939,0.0002614926195821371
ARCH-ACE-LB-T12 minus ARCH-RP,784,-0.0005186787348808484,-0.001146476769958916,6.996712427651152e-05
