instance_id,activation_count,heuristic_cut_count,mean_next_master_lift,max_future_lift,lift_to_gap_mass_ratio,lift_to_anchor_underestimation_ratio,supportive_cut_rate,mean_exact_cut_efficacy,mean_heuristic_cut_efficacy
stage9_large_n32_m48_k320_s90_sl1.12_v0.15,1,1,21.570118062652,21.858972053474645,0.0936161035980709,0.000596229369465032,0.0,3.657737378248843,0.3556058335751389
stage9_large_n32_m48_k320_s90_sl1.15_v0.15,1,1,21.718318080684185,22.74659341850429,0.09425930398302194,0.0006003258330564405,0.0,3.7289458756568483,0.3302666105135777
stage9_large_n32_m48_k320_s91_sl1.12_v0.15,1,1,27.615697978753815,32.25988366348338,0.1238956382012353,0.0008459435581759851,0.0,3.349601278366908,0.4360129005940445
stage9_large_n32_m48_k320_s91_sl1.15_v0.15,1,1,28.011034864062367,33.61151656941638,0.1256692857747087,0.0008580537967690283,0.0,3.4003555432151957,0.4107874198136952
