instance_id,config_name,wall_clock_seconds,master_solve_seconds,exact_anchor_eval_seconds,exact_anchor_scenario_solve_seconds,candidate_generation_seconds,heuristic_eval_seconds,heuristic_scenario_solve_seconds,other_seconds
stage9_large_n32_m48_k320_s90_sl1.12_v0.15,BD-MC,16.827266459004022,3.668244414962828,13.027352500823326,12.977758584776893,0.0,0.0,0.0,0.1316695432178676
stage9_large_n32_m48_k320_s90_sl1.12_v0.15,BD-SC,28.03968508396065,0.3145200450671837,27.720157414791174,27.53717231011251,0.0,0.0,0.0,0.00500762410229072
stage9_large_n32_m48_k320_s90_sl1.12_v0.15,ARCH-RP,17.575874584028497,3.748577999067493,13.693674871872645,13.615560750768054,0.0,0.0,0.0,0.13362171308835968
stage9_large_n32_m48_k320_s90_sl1.12_v0.15,ARCH-ACE-LB,17.81930041697342,3.7791741670225747,13.906896498985589,13.80305331829004,0.0,0.0,0.0,0.13322975096525624
stage9_large_n32_m48_k320_s90_sl1.12_v0.15,ARCH-RP-PORT,18.23603374999948,3.794954792072531,14.097776126058307,14.030757556145545,0.20365824998589233,0.006886459013912827,0.005446250026579946,0.13275812286883593
stage9_large_n32_m48_k320_s90_sl1.15_v0.15,BD-MC,20.36155587498797,4.691289041948039,15.509658789029345,15.415884953865316,0.0,0.0,0.0,0.16060804401058704
stage9_large_n32_m48_k320_s90_sl1.15_v0.15,BD-SC,27.40306020801654,0.23179362498922274,27.166352419997565,26.958379762945697,0.0,0.0,0.0,0.004914163029752672
stage9_large_n32_m48_k320_s90_sl1.15_v0.15,ARCH-RP,20.43210029200418,4.695079374941997,15.576814914878923,15.494280982820783,0.0,0.0,0.0,0.16020600218325853
stage9_large_n32_m48_k320_s90_sl1.15_v0.15,ARCH-ACE-LB,20.53645245800726,4.705237917078193,15.668286166037433,15.562758454820141,0.0,0.0,0.0,0.16292837489163503
stage9_large_n32_m48_k320_s90_sl1.15_v0.15,ARCH-RP-PORT,20.848233749973588,4.80311266501667,15.674681538890582,15.569822894060053,0.20335704198805615,0.006660541985183954,0.0051934170187450945,0.16042196209309623
stage9_large_n32_m48_k320_s91_sl1.12_v0.15,BD-MC,37.6156239999691,15.419551667000633,21.897258376993705,21.727005219087005,0.0,0.0,0.0,0.2988139559747651
stage9_large_n32_m48_k320_s91_sl1.12_v0.15,BD-SC,43.68078537500696,0.7432507888879627,42.929645128024276,42.59481216740096,0.0,0.0,0.0,0.007889458094723523
stage9_large_n32_m48_k320_s91_sl1.12_v0.15,ARCH-RP,38.0308867089916,15.55060728796525,22.180264624068514,22.004169183666818,0.0,0.0,0.0,0.3000147969578393
stage9_large_n32_m48_k320_s91_sl1.12_v0.15,ARCH-ACE-LB,37.992675375018734,15.622604290081654,22.071425209054723,21.867809716728516,0.0,0.0,0.0,0.29864587588235736
stage9_large_n32_m48_k320_s91_sl1.12_v0.15,ARCH-RP-PORT,38.16988412500359,15.523161832883488,22.13826725195395,21.927018266462255,0.20496654201997444,0.006793083040975034,0.005500083032529801,0.29669541510520503
stage9_large_n32_m48_k320_s91_sl1.15_v0.15,BD-MC,46.98101287498139,22.85741295700427,23.784733498236164,23.571579397306778,0.0,0.0,0.0,0.33886641974095255
stage9_large_n32_m48_k320_s91_sl1.15_v0.15,BD-SC,59.53222358401399,1.1379637892823666,58.38322300318396,57.9062111977255,0.0,0.0,0.0,0.011036791547667235
stage9_large_n32_m48_k320_s91_sl1.15_v0.15,ARCH-RP,47.32585012499476,23.390340833051596,23.594094582018442,23.331654896086548,0.0,0.0,0.0,0.3414147099247202
stage9_large_n32_m48_k320_s91_sl1.15_v0.15,ARCH-ACE-LB,47.644354166986886,23.420568543078844,23.881861540023237,23.638849213311914,0.0,0.0,0.0,0.34192408388480544
stage9_large_n32_m48_k320_s91_sl1.15_v0.15,ARCH-RP-PORT,47.842667084012646,23.25274941715179,24.03735033312114,23.83383256237721,0.20442999998340383,0.007083042000886053,0.005556833988521248,0.3410542917554267
