config_name,grid_mean_proof_time_delta_vs_bd,hard_mean_proof_time_delta_vs_bd,overall_mean_proof_time_delta_vs_bd,overall_mean_iteration_gain_vs_bd,overall_mean_extra_candidate_evals,overall_wins,n_pairs
ARCH-ACE-LB,5.4215446818323635e-05,0.011533908043929841,0.0025141495747707915,0.008928571428571428,0.05357142857142857,66,112
ARCH-RPE-DE025,0.00032443229561481115,0.006475679035550759,0.0016425565970296571,0.008928571428571428,0.08928571428571429,56,112
ARCH-ACE-LB-T12,-6.151052234186367e-06,0.006981473990890663,0.001491197171292567,0.008928571428571428,0.05357142857142857,52,112
ARCH-RP,0.0006247542656968686,0.0030337206553667784,0.0011409613491975637,0.05357142857142857,0.39285714285714285,45,112
